id,date,collection_location,travel_history,new_cases,mobility,sequencing_intensity
seq_10104,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
seq_101075,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
seq_101098,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
seq_101103,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
seq_101111,2020-07-07,domestic,travel,501,-0.01,0.12375249500998
seq_101137,2020-07-06,domestic,travel,501,-0.01,0.12375249500998
seq_101142,2020-07-06,domestic,no_travel,501,-0.01,0.12375249500998
seq_101144,2020-07-06,domestic,no_travel,501,-0.01,0.12375249500998
seq_101164,2020-07-06,domestic,no_travel,501,-0.01,0.12375249500998
seq_101168,2020-07-06,domestic,travel,501,-0.01,0.12375249500998
seq_101186,2020-07-06,domestic,no_travel,501,-0.01,0.12375249500998
seq_101200,2020-07-06,domestic,no_travel,501,-0.01,0.12375249500998
seq_101223,2020-07-06,domestic,no_travel,501,-0.01,0.12375249500998
seq_101247,2020-07-06,domestic,no_travel,501,-0.01,0.12375249500998
seq_101284,2020-07-05,domestic,no_travel,501,-0.01,0.12375249500998
seq_101293,2020-07-05,domestic,no_travel,501,-0.01,0.12375249500998
seq_101365,2020-07-05,domestic,no_travel,501,-0.01,0.12375249500998
seq_101381,2020-07-05,domestic,no_travel,501,-0.01,0.12375249500998
seq_101387,2020-07-05,domestic,no_travel,501,-0.01,0.12375249500998
seq_101408,2020-07-05,domestic,no_travel,501,-0.01,0.12375249500998
seq_101409,2020-07-05,domestic,no_travel,501,-0.01,0.12375249500998
seq_101420,2020-07-05,domestic,no_travel,501,-0.01,0.12375249500998
seq_101434,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_101441,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_101450,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_101458,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_10146,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_101492,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_101495,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_10149,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_101499,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_10153,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_101556,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_10156,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_101596,2020-07-04,domestic,no_travel,896,-0.01,0.107142857142857
seq_101611,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
seq_101612,2020-07-03,domestic,travel,896,-0.01,0.107142857142857
seq_101621,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
seq_101631,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
seq_101642,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
seq_101646,2020-07-03,domestic,travel,896,-0.01,0.107142857142857
seq_101657,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
seq_101669,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
seq_101677,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
seq_101698,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
seq_101759,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
seq_101766,2020-07-03,domestic,no_travel,896,-0.01,0.107142857142857
