id,collection_location,collection_date
seq_93030,intl_source,2020-04-01
seq_85469,intl_source,2020-04-10
seq_4263,domestic,2020-05-02
seq_54037,domestic,2020-04-28
seq_153932,intl_source,2020-05-14
seq_121641,domestic,2020-05-31
seq_39860,domestic,2020-05-03
seq_6812,intl_source,2020-04-22
seq_36628,domestic,2020-05-04
seq_25386,intl_source,2020-05-08
seq_86340,intl_source,2020-04-10
seq_31144,intl_source,2020-05-06
seq_136300,domestic,2020-05-22
seq_96249,intl_source,2020-03-24
seq_44543,intl_source,2020-05-02
seq_150569,intl_source,2020-05-16
seq_64099,intl_source,2020-04-24
seq_87652,intl_source,2020-04-08
seq_32044,domestic,2020-05-06
seq_155302,domestic,2020-05-14
seq_74655,domestic,2020-04-18
seq_34287,domestic,2020-05-05
seq_128548,intl_source,2020-05-26
seq_60029,intl_source,2020-04-25
seq_31561,intl_source,2020-05-06
seq_1975,domestic,2020-05-11
seq_154297,domestic,2020-05-14
seq_51129,domestic,2020-04-29
seq_114830,intl_source,2020-06-06
seq_157417,domestic,2020-05-13
seq_10104,domestic,2020-07-07
seq_144988,domestic,2020-05-18
seq_90680,intl_source,2020-04-04
seq_99257,intl_source,2020-03-05
seq_51787,domestic,2020-04-29
seq_36676,intl_source,2020-05-04
seq_53677,intl_source,2020-04-28
seq_87249,domestic,2020-04-09
seq_36511,domestic,2020-05-04
seq_122999,domestic,2020-05-30
seq_112593,Imports,2020-06-08
seq_3977,domestic,2020-05-03
seq_70725,domestic,2020-04-20
seq_42496,intl_source,2020-05-02
seq_144517,intl_source,2020-05-18
seq_152068,intl_source,2020-05-15
seq_119614,intl_source,2020-06-01
seq_89706,intl_source,2020-04-06
seq_73342,domestic,2020-04-19
seq_29498,intl_source,2020-05-07
seq_74549,intl_source,2020-04-18
seq_113813,intl_source,2020-06-07
seq_127918,intl_source,2020-05-27
seq_30025,intl_source,2020-05-07
seq_90837,intl_source,2020-04-04
seq_157450,intl_source,2020-05-13
seq_145074,intl_source,2020-05-18
seq_30932,Imports,2020-05-06
seq_113888,intl_source,2020-06-07
seq_29329,intl_source,2020-05-07
seq_67746,intl_source,2020-04-22
seq_55974,intl_source,2020-04-27
seq_115940,domestic,2020-06-05
seq_41550,domestic,2020-05-03
seq_58058,intl_source,2020-04-26
seq_69623,domestic,2020-04-21
seq_5966,intl_source,2020-04-26
seq_39887,domestic,2020-05-03
seq_152027,domestic,2020-05-15
seq_62877,domestic,2020-04-24
seq_137648,domestic,2020-05-21
seq_149289,domestic,2020-05-16
seq_118588,domestic,2020-06-02
seq_120796,domestic,2020-05-31
seq_146566,domestic,2020-05-17
seq_10165,intl_source,2020-07-03
seq_119030,domestic,2020-06-02
seq_150699,domestic,2020-05-16
seq_18197,domestic,2020-05-11
seq_18699,domestic,2020-05-11
seq_131704,domestic,2020-05-24
seq_104833,domestic,2020-06-21
seq_519,intl_source,2020-07-27
seq_88723,intl_source,2020-04-07
seq_155603,intl_source,2020-05-14
seq_149885,domestic,2020-05-16
seq_43301,intl_source,2020-05-02
seq_82635,intl_source,2020-04-13
seq_85167,intl_source,2020-04-11
seq_97038,intl_source,2020-03-22
seq_120462,intl_source,2020-06-01
seq_66041,domestic,2020-04-23
seq_97487,domestic,2020-03-20
seq_26216,domestic,2020-05-08
seq_109910,domestic,2020-06-12
seq_80737,domestic,2020-04-14
seq_101033,intl_source,2020-07-07
seq_10809,domestic,2020-06-14
seq_90962,domestic,2020-04-04
seq_138564,domestic,2020-05-21
seq_117416,domestic,2020-06-03
seq_59437,domestic,2020-04-26
seq_80175,intl_source,2020-04-15
seq_51790,intl_source,2020-04-29
seq_79923,intl_source,2020-04-15
seq_19255,domestic,2020-05-11
seq_8412,domestic,2020-04-12
seq_43948,intl_source,2020-05-02
seq_69375,domestic,2020-04-21
seq_90263,intl_source,2020-04-05
seq_24494,intl_source,2020-05-09
seq_120526,domestic,2020-06-01
seq_106764,domestic,2020-06-17
seq_143875,intl_source,2020-05-19
seq_107715,domestic,2020-06-15
seq_14552,intl_source,2020-05-18
seq_37986,domestic,2020-05-04
seq_35876,domestic,2020-05-05
seq_130348,intl_source,2020-05-25
seq_69428,intl_source,2020-04-21
seq_66670,intl_source,2020-04-22
seq_65928,domestic,2020-04-23
seq_56058,domestic,2020-04-27
seq_46108,intl_source,2020-05-01
seq_115542,intl_source,2020-06-05
seq_1277,domestic,2020-05-27
seq_139068,domestic,2020-05-21
seq_61599,domestic,2020-04-25
seq_94348,intl_source,2020-03-29
seq_33302,domestic,2020-05-06
seq_7870,intl_source,2020-04-16
seq_152728,domestic,2020-05-15
seq_149222,domestic,2020-05-16
seq_24815,domestic,2020-05-09
seq_55306,domestic,2020-04-27
seq_4270,intl_source,2020-05-02
seq_148300,intl_source,2020-05-17
seq_62409,domestic,2020-04-24
seq_103220,domestic,2020-06-26
seq_152554,domestic,2020-05-15
seq_138500,domestic,2020-05-21
seq_44779,domestic,2020-05-01
seq_153194,domestic,2020-05-15
seq_6796,intl_source,2020-04-22
seq_135427,intl_source,2020-05-22
seq_3230,intl_source,2020-05-06
seq_24129,intl_source,2020-05-09
seq_24688,intl_source,2020-05-09
seq_99018,domestic,2020-03-08
seq_2007,domestic,2020-05-10
seq_140868,domestic,2020-05-20
seq_57479,intl_source,2020-04-27
seq_159982,domestic,2020-05-12
seq_119170,intl_source,2020-06-02
seq_97230,domestic,2020-03-21
seq_119357,domestic,2020-06-02
seq_37740,intl_source,2020-05-04
seq_15422,intl_source,2020-05-14
seq_146549,Imports,2020-05-17
seq_43800,intl_source,2020-05-02
seq_142149,domestic,2020-05-19
seq_72599,intl_source,2020-04-19
seq_148296,domestic,2020-05-17
seq_115929,intl_source,2020-06-05
seq_68737,intl_source,2020-04-21
seq_114285,domestic,2020-06-06
seq_6656,intl_source,2020-04-23
seq_26950,intl_source,2020-05-08
seq_46138,intl_source,2020-05-01
seq_19628,domestic,2020-05-11
seq_15375,domestic,2020-05-14
seq_100195,intl_source,2020-07-15
seq_148979,intl_source,2020-05-16
seq_302,domestic,2020-08-04
seq_132087,domestic,2020-05-24
seq_153327,domestic,2020-05-15
seq_115596,intl_source,2020-06-05
seq_98473,intl_source,2020-03-13
seq_130512,Imports,2020-05-25
seq_74472,domestic,2020-04-18
seq_154455,intl_source,2020-05-14
seq_53699,domestic,2020-04-28
seq_4034,domestic,2020-05-03
seq_96805,intl_source,2020-03-22
seq_18600,intl_source,2020-05-11
seq_135032,intl_source,2020-05-23
seq_37108,intl_source,2020-05-04
seq_56049,intl_source,2020-04-27
seq_140571,domestic,2020-05-20
seq_98952,intl_source,2020-03-09
seq_137645,intl_source,2020-05-21
seq_119155,domestic,2020-06-02
seq_104384,domestic,2020-06-23
seq_119892,intl_source,2020-06-01
seq_123935,domestic,2020-05-29
seq_25527,intl_source,2020-05-08
seq_123007,intl_source,2020-05-30
seq_91934,intl_source,2020-04-03
seq_106248,Imports,2020-06-18
seq_48461,domestic,2020-04-30
seq_75952,intl_source,2020-04-17
seq_104356,intl_source,2020-06-23
seq_5170,domestic,2020-04-29
seq_40822,intl_source,2020-05-03
seq_14321,domestic,2020-05-19
seq_97746,domestic,2020-03-18
seq_66375,intl_source,2020-04-23
seq_132765,domestic,2020-05-24
seq_38985,intl_source,2020-05-04
seq_142019,domestic,2020-05-19
seq_66321,intl_source,2020-04-23
seq_71830,intl_source,2020-04-20
seq_133962,domestic,2020-05-23
seq_139085,intl_source,2020-05-21
seq_27347,domestic,2020-05-08
seq_57241,domestic,2020-04-27
seq_76836,domestic,2020-04-17
seq_110827,domestic,2020-06-10
seq_156427,intl_source,2020-05-13
seq_13499,domestic,2020-05-23
seq_96899,domestic,2020-03-22
seq_5858,domestic,2020-04-26
seq_123435,domestic,2020-05-29
seq_105821,intl_source,2020-06-19
seq_102912,intl_source,2020-06-28
seq_35331,intl_source,2020-05-05
seq_93467,intl_source,2020-03-31
seq_138557,domestic,2020-05-21
seq_125367,domestic,2020-05-28
seq_149848,intl_source,2020-05-16
seq_65118,intl_source,2020-04-23
seq_36934,intl_source,2020-05-04
seq_73425,domestic,2020-04-19
seq_81198,domestic,2020-04-14
seq_132983,intl_source,2020-05-24
seq_84563,domestic,2020-04-11
seq_120690,domestic,2020-06-01
seq_67672,domestic,2020-04-22
seq_49468,intl_source,2020-04-30
seq_142828,domestic,2020-05-19
seq_139893,intl_source,2020-05-20
seq_152442,intl_source,2020-05-15
seq_135002,domestic,2020-05-23
seq_55205,domestic,2020-04-27
seq_133071,intl_source,2020-05-24
seq_148237,intl_source,2020-05-17
seq_22433,intl_source,2020-05-10
seq_158065,domestic,2020-05-13
seq_155499,intl_source,2020-05-14
seq_94677,domestic,2020-03-29
seq_81904,domestic,2020-04-13
seq_48952,intl_source,2020-04-30
seq_129616,domestic,2020-05-26
seq_102503,domestic,2020-06-29
seq_146612,domestic,2020-05-17
seq_39042,intl_source,2020-05-04
seq_87907,intl_source,2020-04-08
seq_139670,domestic,2020-05-20
seq_87456,domestic,2020-04-08
seq_138395,domestic,2020-05-21
seq_45444,domestic,2020-05-01
seq_104754,domestic,2020-06-22
seq_50285,domestic,2020-04-29
seq_74137,intl_source,2020-04-19
seq_107189,domestic,2020-06-16
seq_100815,intl_source,2020-07-09
seq_17989,intl_source,2020-05-11
seq_28088,domestic,2020-05-08
seq_40089,domestic,2020-05-03
