label,deme,Date
leaf_106091,Deme_1,2020-06-18
leaf_20916,Deme_2,2020-05-10
leaf_69211,Deme_1,2020-04-21
leaf_59708,Deme_2,2020-04-26
leaf_119411,Deme_2,2020-06-02
leaf_137111,Deme_1,2020-05-22
leaf_87658,Deme_1,2020-04-08
leaf_121437,Deme_2,2020-05-31
leaf_92204,Deme_2,2020-04-02
leaf_145859,Deme_2,2020-05-18
leaf_70263,Deme_1,2020-04-21
leaf_12627,Deme_1,2020-05-28
leaf_100913,Deme_2,2020-07-08
leaf_4818,Deme_1,2020-04-30
leaf_129800,Deme_1,2020-05-25
leaf_104025,Deme_1,2020-06-24
leaf_71726,Deme_2,2020-04-20
leaf_27323,Deme_2,2020-05-08
leaf_19247,Deme_1,2020-05-11
leaf_28038,Deme_2,2020-05-08
leaf_106921,Deme_2,2020-06-17
leaf_59291,Deme_1,2020-04-26
leaf_71824,Deme_2,2020-04-20
leaf_71119,Deme_1,2020-04-20
leaf_73828,Deme_1,2020-04-19
leaf_127005,Deme_2,2020-05-27
leaf_102276,Deme_2,2020-06-30
leaf_43145,Deme_2,2020-05-02
leaf_70534,Deme_2,2020-04-21
leaf_157005,Deme_2,2020-05-13
leaf_59120,Deme_2,2020-04-26
leaf_20151,Deme_1,2020-05-10
leaf_160365,Deme_2,2020-05-12
leaf_101200,Deme_2,2020-07-06
leaf_121488,Deme_2,2020-05-31
leaf_129082,Deme_1,2020-05-26
leaf_83776,Deme_2,2020-04-12
leaf_21595,Deme_2,2020-05-10
leaf_30555,Deme_2,2020-05-07
leaf_59984,Deme_2,2020-04-25
leaf_131970,Deme_1,2020-05-24
leaf_79896,Deme_1,2020-04-15
leaf_126924,Deme_2,2020-05-27
leaf_93238,Deme_2,2020-03-31
leaf_76295,Deme_2,2020-04-17
leaf_117611,Deme_2,2020-06-03
leaf_90728,Deme_1,2020-04-04
leaf_116953,Deme_2,2020-06-04
leaf_122070,Deme_2,2020-05-30
leaf_72219,Deme_2,2020-04-20
leaf_150563,Deme_2,2020-05-16
leaf_21958,Deme_2,2020-05-10
leaf_127876,Deme_2,2020-05-27
leaf_97125,Deme_1,2020-03-21
leaf_71393,Deme_1,2020-04-20
leaf_8925,Deme_2,2020-04-06
leaf_149176,Deme_1,2020-05-16
leaf_134285,Deme_1,2020-05-23
leaf_25331,Deme_2,2020-05-08
leaf_96373,Deme_1,2020-03-24
leaf_139868,Deme_1,2020-05-20
leaf_77677,Deme_1,2020-04-16
leaf_154204,Deme_1,2020-05-14
leaf_111129,Deme_1,2020-06-10
leaf_23209,Deme_1,2020-05-09
leaf_107546,Deme_2,2020-06-15
leaf_155139,Deme_1,2020-05-14
leaf_55512,Deme_1,2020-04-27
leaf_144210,Deme_2,2020-05-18
leaf_30623,Deme_2,2020-05-07
leaf_1219,Deme_2,2020-05-31
leaf_26202,Deme_1,2020-05-08
leaf_107530,Deme_2,2020-06-15
leaf_119922,Deme_2,2020-06-01
leaf_8763,Deme_2,2020-04-08
leaf_128796,Deme_1,2020-05-26
leaf_67973,Deme_1,2020-04-22
leaf_12583,Deme_1,2020-05-28
leaf_9433,Deme_2,2020-03-29
leaf_59053,Deme_2,2020-04-26
leaf_72621,Deme_1,2020-04-19
leaf_14986,Deme_1,2020-05-16
leaf_157827,Deme_1,2020-05-13
leaf_45871,Deme_2,2020-05-01
leaf_100227,Deme_2,2020-07-14
leaf_107324,Deme_2,2020-06-16
leaf_54440,Deme_1,2020-04-28
leaf_141786,Deme_1,2020-05-19
leaf_99786,Deme_2,2020-02-21
leaf_107517,Deme_1,2020-06-15
leaf_104617,Imports,2020-06-22
leaf_23157,Deme_2,2020-05-09
leaf_2786,Deme_1,2020-05-08
leaf_41309,Deme_2,2020-05-03
leaf_72351,Imports,2020-04-20
leaf_114431,Imports,2020-06-06
leaf_20751,Deme_1,2020-05-10
leaf_142502,Deme_2,2020-05-19
leaf_78577,Deme_1,2020-04-16
leaf_137697,Deme_2,2020-05-21
leaf_21843,Deme_1,2020-05-10
leaf_45315,Deme_1,2020-05-01
leaf_144420,Deme_2,2020-05-18
leaf_72347,Deme_2,2020-04-20
leaf_122997,Deme_2,2020-05-30
leaf_76378,Imports,2020-04-17
leaf_110173,Deme_1,2020-06-11
leaf_115479,Deme_1,2020-06-05
leaf_18900,Deme_2,2020-05-11
leaf_118222,Deme_1,2020-06-03
leaf_72018,Deme_1,2020-04-20
leaf_146053,Deme_2,2020-05-18
leaf_95913,Deme_2,2020-03-25
leaf_57625,Deme_1,2020-04-26
leaf_19986,Deme_2,2020-05-10
leaf_43564,Deme_2,2020-05-02
leaf_66939,Deme_2,2020-04-22
leaf_134042,Deme_2,2020-05-23
leaf_156541,Deme_2,2020-05-13
leaf_85654,Deme_1,2020-04-10
leaf_9472,Deme_2,2020-03-28
leaf_90694,Deme_2,2020-04-04
leaf_5518,Deme_2,2020-04-27
leaf_9613,Deme_1,2020-03-25
leaf_93030,Deme_1,2020-04-01
leaf_85469,Deme_1,2020-04-10
leaf_4263,Deme_2,2020-05-02
leaf_54037,Deme_2,2020-04-28
leaf_153932,Deme_1,2020-05-14
leaf_121641,Deme_2,2020-05-31
leaf_39860,Deme_2,2020-05-03
leaf_6812,Deme_1,2020-04-22
leaf_36628,Deme_2,2020-05-04
leaf_25386,Deme_1,2020-05-08
leaf_86340,Deme_1,2020-04-10
leaf_31144,Deme_1,2020-05-06
leaf_136300,Deme_2,2020-05-22
leaf_96249,Deme_1,2020-03-24
leaf_44543,Deme_1,2020-05-02
leaf_150569,Deme_1,2020-05-16
leaf_64099,Deme_1,2020-04-24
leaf_87652,Deme_1,2020-04-08
leaf_32044,Deme_2,2020-05-06
leaf_155302,Deme_2,2020-05-14
leaf_74655,Deme_2,2020-04-18
leaf_34287,Deme_2,2020-05-05
leaf_128548,Deme_1,2020-05-26
leaf_60029,Deme_1,2020-04-25
leaf_31561,Deme_1,2020-05-06
leaf_1975,Deme_2,2020-05-11
leaf_154297,Deme_2,2020-05-14
leaf_51129,Deme_2,2020-04-29
leaf_114830,Deme_1,2020-06-06
leaf_157417,Deme_2,2020-05-13
leaf_10104,Deme_2,2020-07-07
leaf_144988,Deme_2,2020-05-18
leaf_90680,Deme_1,2020-04-04
leaf_99257,Deme_1,2020-03-05
leaf_51787,Deme_2,2020-04-29
leaf_36676,Deme_1,2020-05-04
leaf_53677,Deme_1,2020-04-28
leaf_87249,Deme_2,2020-04-09
leaf_36511,Deme_2,2020-05-04
leaf_122999,Deme_2,2020-05-30
leaf_112593,Imports,2020-06-08
leaf_3977,Deme_2,2020-05-03
leaf_70725,Deme_2,2020-04-20
leaf_42496,Deme_1,2020-05-02
leaf_144517,Deme_1,2020-05-18
leaf_152068,Deme_1,2020-05-15
leaf_119614,Deme_1,2020-06-01
leaf_89706,Deme_1,2020-04-06
leaf_73342,Deme_2,2020-04-19
leaf_29498,Deme_1,2020-05-07
leaf_74549,Deme_1,2020-04-18
leaf_113813,Deme_1,2020-06-07
leaf_127918,Deme_1,2020-05-27
leaf_30025,Deme_1,2020-05-07
leaf_90837,Deme_1,2020-04-04
leaf_157450,Deme_1,2020-05-13
leaf_145074,Deme_1,2020-05-18
leaf_30932,Imports,2020-05-06
leaf_113888,Deme_1,2020-06-07
leaf_29329,Deme_1,2020-05-07
leaf_67746,Deme_1,2020-04-22
leaf_55974,Deme_1,2020-04-27
leaf_115940,Deme_2,2020-06-05
leaf_41550,Deme_2,2020-05-03
leaf_58058,Deme_1,2020-04-26
leaf_69623,Deme_2,2020-04-21
leaf_5966,Deme_1,2020-04-26
leaf_39887,Deme_2,2020-05-03
leaf_152027,Deme_2,2020-05-15
leaf_62877,Deme_2,2020-04-24
leaf_137648,Deme_2,2020-05-21
leaf_149289,Deme_2,2020-05-16
leaf_118588,Deme_2,2020-06-02
leaf_120796,Deme_2,2020-05-31
leaf_146566,Deme_2,2020-05-17
leaf_10165,Deme_1,2020-07-03
leaf_119030,Deme_2,2020-06-02
leaf_150699,Deme_2,2020-05-16
leaf_18197,Deme_2,2020-05-11
leaf_18699,Deme_2,2020-05-11
leaf_131704,Deme_2,2020-05-24
leaf_104833,Deme_2,2020-06-21
leaf_519,Deme_1,2020-07-27
leaf_88723,Deme_1,2020-04-07
leaf_155603,Deme_1,2020-05-14
leaf_149885,Deme_2,2020-05-16
leaf_43301,Deme_1,2020-05-02
leaf_82635,Deme_1,2020-04-13
leaf_85167,Deme_1,2020-04-11
leaf_97038,Deme_1,2020-03-22
leaf_120462,Deme_1,2020-06-01
leaf_66041,Deme_2,2020-04-23
leaf_97487,Deme_2,2020-03-20
leaf_26216,Deme_2,2020-05-08
leaf_109910,Deme_2,2020-06-12
leaf_80737,Deme_2,2020-04-14
leaf_101033,Deme_1,2020-07-07
leaf_10809,Deme_2,2020-06-14
leaf_90962,Deme_2,2020-04-04
leaf_138564,Deme_2,2020-05-21
leaf_117416,Deme_2,2020-06-03
leaf_59437,Deme_2,2020-04-26
leaf_80175,Deme_1,2020-04-15
leaf_51790,Deme_1,2020-04-29
leaf_79923,Deme_1,2020-04-15
leaf_19255,Deme_2,2020-05-11
leaf_8412,Deme_2,2020-04-12
leaf_43948,Deme_1,2020-05-02
leaf_69375,Deme_2,2020-04-21
leaf_90263,Deme_1,2020-04-05
leaf_24494,Deme_1,2020-05-09
leaf_120526,Deme_2,2020-06-01
leaf_106764,Deme_2,2020-06-17
leaf_143875,Deme_1,2020-05-19
leaf_107715,Deme_2,2020-06-15
leaf_14552,Deme_1,2020-05-18
leaf_37986,Deme_2,2020-05-04
leaf_35876,Deme_2,2020-05-05
leaf_130348,Deme_1,2020-05-25
leaf_69428,Deme_1,2020-04-21
leaf_66670,Deme_1,2020-04-22
leaf_65928,Deme_2,2020-04-23
leaf_56058,Deme_2,2020-04-27
leaf_46108,Deme_1,2020-05-01
leaf_115542,Deme_1,2020-06-05
leaf_1277,Deme_2,2020-05-27
leaf_139068,Deme_2,2020-05-21
leaf_61599,Deme_2,2020-04-25
leaf_94348,Deme_1,2020-03-29
leaf_33302,Deme_2,2020-05-06
leaf_7870,Deme_1,2020-04-16
leaf_152728,Deme_2,2020-05-15
leaf_149222,Deme_2,2020-05-16
leaf_24815,Deme_2,2020-05-09
leaf_55306,Deme_2,2020-04-27
leaf_4270,Deme_1,2020-05-02
leaf_148300,Deme_1,2020-05-17
leaf_62409,Deme_2,2020-04-24
leaf_103220,Deme_2,2020-06-26
leaf_152554,Deme_2,2020-05-15
leaf_138500,Deme_2,2020-05-21
leaf_44779,Deme_2,2020-05-01
leaf_153194,Deme_2,2020-05-15
leaf_6796,Deme_1,2020-04-22
leaf_135427,Deme_1,2020-05-22
leaf_3230,Deme_1,2020-05-06
leaf_24129,Deme_1,2020-05-09
leaf_24688,Deme_1,2020-05-09
leaf_99018,Deme_2,2020-03-08
leaf_2007,Deme_2,2020-05-10
leaf_140868,Deme_2,2020-05-20
leaf_57479,Deme_1,2020-04-27
leaf_159982,Deme_2,2020-05-12
leaf_119170,Deme_1,2020-06-02
leaf_97230,Deme_2,2020-03-21
leaf_119357,Deme_2,2020-06-02
leaf_37740,Deme_1,2020-05-04
leaf_15422,Deme_1,2020-05-14
leaf_146549,Imports,2020-05-17
leaf_43800,Deme_1,2020-05-02
leaf_142149,Deme_2,2020-05-19
leaf_72599,Deme_1,2020-04-19
leaf_148296,Deme_2,2020-05-17
leaf_115929,Deme_1,2020-06-05
leaf_68737,Deme_1,2020-04-21
leaf_114285,Deme_2,2020-06-06
leaf_6656,Deme_1,2020-04-23
leaf_26950,Deme_1,2020-05-08
leaf_46138,Deme_1,2020-05-01
leaf_19628,Deme_2,2020-05-11
leaf_15375,Deme_2,2020-05-14
leaf_100195,Deme_1,2020-07-15
leaf_148979,Deme_1,2020-05-16
leaf_302,Deme_2,2020-08-04
leaf_132087,Deme_2,2020-05-24
leaf_153327,Deme_2,2020-05-15
leaf_115596,Deme_1,2020-06-05
leaf_98473,Deme_1,2020-03-13
leaf_130512,Imports,2020-05-25
leaf_74472,Deme_2,2020-04-18
leaf_154455,Deme_1,2020-05-14
leaf_53699,Deme_2,2020-04-28
leaf_4034,Deme_2,2020-05-03
leaf_96805,Deme_1,2020-03-22
leaf_18600,Deme_1,2020-05-11
leaf_135032,Deme_1,2020-05-23
leaf_37108,Deme_1,2020-05-04
leaf_56049,Deme_1,2020-04-27
leaf_140571,Deme_2,2020-05-20
leaf_98952,Deme_1,2020-03-09
leaf_137645,Deme_1,2020-05-21
leaf_119155,Deme_2,2020-06-02
leaf_104384,Deme_2,2020-06-23
leaf_119892,Deme_1,2020-06-01
leaf_123935,Deme_2,2020-05-29
leaf_25527,Deme_1,2020-05-08
leaf_123007,Deme_1,2020-05-30
leaf_91934,Deme_1,2020-04-03
leaf_106248,Imports,2020-06-18
leaf_48461,Deme_2,2020-04-30
leaf_75952,Deme_1,2020-04-17
leaf_104356,Deme_1,2020-06-23
leaf_5170,Deme_2,2020-04-29
leaf_40822,Deme_1,2020-05-03
leaf_14321,Deme_2,2020-05-19
leaf_97746,Deme_2,2020-03-18
leaf_66375,Deme_1,2020-04-23
leaf_132765,Deme_2,2020-05-24
leaf_38985,Deme_1,2020-05-04
leaf_142019,Deme_2,2020-05-19
leaf_66321,Deme_1,2020-04-23
leaf_71830,Deme_1,2020-04-20
leaf_133962,Deme_2,2020-05-23
leaf_139085,Deme_1,2020-05-21
leaf_27347,Deme_2,2020-05-08
leaf_57241,Deme_2,2020-04-27
leaf_76836,Deme_2,2020-04-17
leaf_110827,Deme_2,2020-06-10
leaf_156427,Deme_1,2020-05-13
leaf_13499,Deme_2,2020-05-23
leaf_96899,Deme_2,2020-03-22
leaf_5858,Deme_2,2020-04-26
leaf_123435,Deme_2,2020-05-29
leaf_105821,Deme_1,2020-06-19
leaf_102912,Deme_1,2020-06-28
leaf_35331,Deme_1,2020-05-05
leaf_93467,Deme_1,2020-03-31
leaf_138557,Deme_2,2020-05-21
leaf_125367,Deme_2,2020-05-28
leaf_149848,Deme_1,2020-05-16
leaf_65118,Deme_1,2020-04-23
leaf_36934,Deme_1,2020-05-04
leaf_73425,Deme_2,2020-04-19
leaf_81198,Deme_2,2020-04-14
leaf_132983,Deme_1,2020-05-24
leaf_84563,Deme_2,2020-04-11
leaf_120690,Deme_2,2020-06-01
leaf_67672,Deme_2,2020-04-22
leaf_49468,Deme_1,2020-04-30
leaf_142828,Deme_2,2020-05-19
leaf_139893,Deme_1,2020-05-20
leaf_152442,Deme_1,2020-05-15
leaf_135002,Deme_2,2020-05-23
leaf_55205,Deme_2,2020-04-27
leaf_133071,Deme_1,2020-05-24
leaf_148237,Deme_1,2020-05-17
leaf_22433,Deme_1,2020-05-10
leaf_158065,Deme_2,2020-05-13
leaf_155499,Deme_1,2020-05-14
leaf_94677,Deme_2,2020-03-29
leaf_81904,Deme_2,2020-04-13
leaf_48952,Deme_1,2020-04-30
leaf_129616,Deme_2,2020-05-26
leaf_102503,Deme_2,2020-06-29
leaf_146612,Deme_2,2020-05-17
leaf_39042,Deme_1,2020-05-04
leaf_87907,Deme_1,2020-04-08
leaf_139670,Deme_2,2020-05-20
leaf_87456,Deme_2,2020-04-08
leaf_138395,Deme_2,2020-05-21
leaf_45444,Deme_2,2020-05-01
leaf_104754,Deme_2,2020-06-22
leaf_50285,Deme_2,2020-04-29
leaf_74137,Deme_1,2020-04-19
leaf_107189,Deme_2,2020-06-16
leaf_100815,Deme_1,2020-07-09
leaf_17989,Deme_1,2020-05-11
leaf_28088,Deme_2,2020-05-08
leaf_40089,Deme_2,2020-05-03
leaf_62666,Deme_2,2020-04-24
leaf_112951,Deme_2,2020-06-08
leaf_57895,Deme_1,2020-04-26
leaf_10676,Deme_1,2020-06-17
leaf_35531,Deme_1,2020-05-05
leaf_50610,Deme_2,2020-04-29
leaf_50686,Deme_2,2020-04-29
leaf_66497,Deme_2,2020-04-23
leaf_54048,Deme_2,2020-04-28
leaf_157865,Deme_1,2020-05-13
leaf_114944,Deme_1,2020-06-06
leaf_25150,Deme_1,2020-05-09
leaf_18200,Deme_1,2020-05-11
leaf_148761,Deme_1,2020-05-16
leaf_128579,Deme_2,2020-05-26
leaf_105699,Deme_2,2020-06-19
leaf_105803,Deme_1,2020-06-19
leaf_16267,Deme_1,2020-05-12
leaf_40938,Deme_2,2020-05-03
leaf_49249,Deme_1,2020-04-30
leaf_106689,Deme_2,2020-06-17
leaf_98115,Deme_1,2020-03-16
leaf_64857,Deme_2,2020-04-23
leaf_15209,Deme_1,2020-05-15
leaf_30119,Deme_2,2020-05-07
leaf_130102,Deme_1,2020-05-25
leaf_120341,Deme_1,2020-06-01
leaf_121536,Deme_2,2020-05-31
leaf_68429,Deme_2,2020-04-22
leaf_786,Deme_2,2020-07-21
leaf_117048,Deme_2,2020-06-04
leaf_44081,Deme_1,2020-05-02
leaf_18134,Deme_2,2020-05-11
leaf_132650,Deme_2,2020-05-24
leaf_129514,Deme_2,2020-05-26
leaf_58693,Deme_2,2020-04-26
leaf_28520,Deme_2,2020-05-07
leaf_16247,Deme_2,2020-05-12
leaf_119828,Deme_1,2020-06-01
leaf_4573,Deme_2,2020-05-01
leaf_118814,Deme_1,2020-06-02
leaf_86879,Deme_2,2020-04-09
leaf_29496,Deme_1,2020-05-07
leaf_67440,Deme_2,2020-04-22
leaf_33652,Deme_1,2020-05-06
leaf_113292,Deme_2,2020-06-07
leaf_121540,Deme_2,2020-05-31
leaf_139346,Deme_2,2020-05-21
leaf_124147,Deme_2,2020-05-29
